











SORCERY_START,,LOCALIZATION,,START,,,,,

unit_fire,items,Item,New,"Fire 1",,,,,
unit_fireDesc,items,Item,New,"[Fire 1] is used in a Fire Conjure to perform [Tier 1] Fire Spellcrafting and other Fire Sorceries.",,,,,
unit_fire2,items,Item,New,"Fire 2",,,,,
unit_fire2Desc,items,Item,New,"[Fire 2] is used in a Fire Conjure to perform [Tier 2] Fire Spellcrafting and other Fire Sorceries.",,,,,
unit_fire3,items,Item,New,"Fire 3",,,,,
unit_fire3Desc,items,Item,New,"[Fire 3] is used in a Fire Conjure to perform [Tier 3] Fire Spellcrafting and other Fire Sorceries.",,,,,
unit_fire4,items,Item,New,"Fire 4",,,,,
unit_fire4Desc,items,Item,New,"[Fire 4] is used in a Fire Conjure to perform [Tier 4] Fire Spellcrafting and other Fire Sorceries.",,,,,
unit_fire5,items,Item,New,"Fire 5",,,,,
unit_fire5Desc,items,Item,New,"[Fire 5] is used in a Fire Conjure to perform [Tier 5] Fire Spellcrafting and other Fire Sorceries.",,,,,

unit_ice,items,Item,New,"Ice 1",,,,,
unit_iceDesc,items,Item,New,"[Ice 1] is used in an Ice Conjure to perform [Tier 1] Ice Spellcrafting and other Ice Sorceries.",,,,,
unit_ice2,items,Item,New,"Ice 2",,,,,
unit_ice2Desc,items,Item,New,"[Ice 2] is used in an Ice Conjure to perform [Tier 2] Ice Spellcrafting and other Ice Sorceries.",,,,,
unit_ice3,items,Item,New,"Ice 3",,,,,
unit_ice3Desc,items,Item,New,"[Ice 3] is used in an Ice Conjure to perform [Tier 3] Ice Spellcrafting and other Ice Sorceries.",,,,,
unit_ice4,items,Item,New,"Ice 4",,,,,
unit_ice4Desc,items,Item,New,"[Ice 4] is used in an Ice Conjure to perform [Tier 4] Ice Spellcrafting and other Ice Sorceries.",,,,,
unit_ice5,items,Item,New,"Ice 5",,,,,
unit_ice5Desc,items,Item,New,"[Ice 5] is used in an Ice Conjure to perform [Tier 5] Ice Spellcrafting and other Ice Sorceries.",,,,,

unit_lightning,items,Item,New,"Lightning 1",,,,,
unit_lightningDesc,items,Item,New,"[Lightning 1] is used in a Lightning Conjure to perform [Tier 1] Lightning Spellcrafting and other Lightning Sorceries.",,,,,
unit_lightning2,items,Item,New,"Lightning 2",,,,,
unit_lightning2Desc,items,Item,New,"[Lightning 2] is used in a Lightning Conjure to perform [Tier 2] Lightning Spellcrafting and other Lightning Sorceries.",,,,,
unit_lightning3,items,Item,New,"Lightning 3",,,,,
unit_lightning3Desc,items,Item,New,"[Lightning 3] is used in a Lightning Conjure to perform [Tier 3] Lightning Spellcrafting and other Lightning Sorceries.",,,,,
unit_lightning4,items,Item,New,"Lightning 4",,,,,
unit_lightning4Desc,items,Item,New,"[Lightning 4] is used in a Lightning Conjure to perform [Tier 4] Lightning Spellcrafting and other Lightning Sorceries.",,,,,
unit_lightning5,items,Item,New,"Lightning 5",,,,,
unit_lightning5Desc,items,Item,New,"[Lightning 5] is used in a Lightning Conjure to perform [Tier 5] Lightning Spellcrafting and other Lightning Sorceries.",,,,,

resourceEssenceFire,items,Item,New,"Fire [2f9970]Essence[-]",,,,,
resourceEssenceFire2,items,Item,New,"Fire [36dc2a]Essence II[-]",,,,,
resourceEssenceFire3,items,Item,New,"Fire [407fff]Essence III[-]",,,,,
resourceEssenceFire4,items,Item,New,"Fire [ba3fd0]Essence IV[-]",,,,,
resourceEssenceFire5,items,Item,New,"Fire [e60000]Essence V[-]",,,,,
resourceEssenceFireDesc,items,Item,New,"Fire [2f9970]Essence[-] is essential to crafting and performing [2f9970]Novice[-] [970000]Fire Sorceries[-] by transmuting into pure [970000]Fire[-] at a [970000]Fire Conjure[-].\n\n[U]Burnt and Oak Trees, Boulders, Coal and Oil[/U] are excellent sources of Fire [2f9970]Essence[-]",,,,,
resourceEssenceFire2Desc,items,Item,New,"Fire [36dc2a]Essence II[-] is essential to crafting and performing [36dc2a]Intermediate[-] [970000]Fire Sorceries[-] by transmuting into pure [970000]Fire II[-] at a [970000]Fire Conjure[-].\n\n[U]Burnt and Oak Trees, Boulders, Coal and Oil[/U] are excellent sources of Fire [36dc2a]Essence II[-]",,,,,
resourceEssenceFire3Desc,items,Item,New,"Fire [407fff]Essence III[-] is essential to crafting and performing [407fff]Adept[-] [970000]Fire Sorceries[-] by transmuting into pure [970000]Fire III[-] at a [970000]Fire Conjure[-].\n\n[U]Burnt and Oak Trees, Boulders, Coal and Oil[/U] are excellent sources of Fire [407fff]Essence III[-]",,,,,
resourceEssenceFire4Desc,items,Item,New,"Fire [ba3fd0]Essence IV[-] is essential to crafting and performing [ba3fd0]Expert[-] [970000]Fire Sorceries[-] by transmuting into pure [970000]Fire IV[-] at a [970000]Fire Conjure[-].\n\n[U]Burnt and Oak Trees, Boulders, Coal and Oil[/U] are excellent sources of Fire [ba3fd0]Essence IV[-]",,,,,
resourceEssenceFire5Desc,items,Item,New,"Fire [e60000]Essence V[-] is essential to crafting and performing [e60000]Master[-] [970000]Fire Sorceries[-] by transmuting into pure [970000]Fire V[-] at a [970000]Fire Conjure[-].\n\n[U]Burnt and Oak Trees, Boulders, Coal and Oil[/U] are excellent sources of Fire [e60000]Essence V[-]",,,,,

resourceEssenceIce,items,Item,New,"Ice [2f9970]Essence[-]",,,,,
resourceEssenceIce2,items,Item,New,"Ice [36dc2a]Essence II[-]",,,,,
resourceEssenceIce3,items,Item,New,"Ice [407fff]Essence III[-]",,,,,
resourceEssenceIce4,items,Item,New,"Ice [ba3fd0]Essence IV[-]",,,,,
resourceEssenceIce5,items,Item,New,"Ice [e60000]Essence V[-]",,,,,
resourceEssenceIceDesc,items,Item,New,"Ice [2f9970]Essence[-] is essential to crafting and performing [2f9970]Novice[-] [02599c]Ice Sorceries[-] by transmuting into pure [02599c]Ice[-] at an [02599c]Ice Conjure[-].\n\n[U]Winter Trees, Boulders and Potassium Nitrate[/U] are excellent sources of Ice [2f9970]Essence[-]",,,,,
resourceEssenceIce2Desc,items,Item,New,"Ice [36dc2a]Essence II[-] is essential to crafting and performing [36dc2a]Intermediate[-] [02599c]Ice Sorceries[-] by transmuting into pure [02599c]Ice II[-] at an [02599c]Ice Conjure[-].\n\n[U]Winter Trees, Boulders and Potassium Nitrate[/U] are excellent sources of Ice [36dc2a]Essence II[-]",,,,,
resourceEssenceIce3Desc,items,Item,New,"Ice [407fff]Essence III[-] is essential to crafting and performing [407fff]Adept[-] [02599c]Ice Sorceries[-] by transmuting into pure [02599c]Ice III[-] at an [02599c]Ice Conjure[-].\n\n[U]Winter Trees, Boulders and Potassium Nitrate[/U] are excellent sources of Ice [407fff]Essence III[-]",,,,,
resourceEssenceIce4Desc,items,Item,New,"Ice [ba3fd0]Essence IV[-] is essential to crafting and performing [ba3fd0]Expert[-] [02599c]Ice Sorceries[-] by transmuting into pure [02599c]Ice IV[-] at an [02599c]Ice Conjure[-].\n\n[U]Winter Trees, Boulders and Potassium Nitrate[/U] are excellent sources of Ice [ba3fd0]Essence IV[-]",,,,,
resourceEssenceIce5Desc,items,Item,New,"Ice [e60000]Essence V[-] is essential to crafting and performing [e60000]Master[-] [02599c]Ice Sorceries[-] by transmuting into pure [02599c]Ice V[-] at an [02599c]Ice Conjure[-].\n\n[U]Winter Trees, Boulders and Potassium Nitrate[/U] are excellent sources of Ice [e60000]Essence V[-]",,,,,

resourceEssenceLightning,items,Item,New,"Lightning [2f9970]Essence[-]",,,,,
resourceEssenceLightning2,items,Item,New,"Lightning [36dc2a]Essence II[-]",,,,,
resourceEssenceLightning3,items,Item,New,"Lightning [407fff]Essence III[-]",,,,,
resourceEssenceLightning4,items,Item,New,"Lightning [ba3fd0]Essence IV[-]",,,,,
resourceEssenceLightning5,items,Item,New,"Lightning [e60000]Essence V[-]",,,,,
resourceEssenceLightningDesc,items,Item,New,"Lightning [2f9970]Essence[-] is essential to crafting and performing [2f9970]Novice[-] [5c009d]Lightning Sorceries[-] by transmuting into pure [5c009d]Lightning[-] at a [5c009d]Lightning Conjure[-].\n\n[U]Pine Trees, Boulders and Lead Ore[/U]\nare excellent sources of Lightning [2f9970]Essence[-]",,,,,
resourceEssenceLightning2Desc,items,Item,New,"Lightning [36dc2a]Essence II[-] is essential to crafting and performing [36dc2a]Intermediate[-] [5c009d]Lightning Sorceries[-] by transmuting into pure [5c009d]Lightning II[-] at a [5c009d]Lightning Conjure[-].\n\n[U]Pine Trees, Boulders and Lead Ore[/U]\nare excellent sources of Lightning [36dc2a]Essence II[-]",,,,,
